Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Estonia,1340680,17409,140,3576,17,285,253,276,0,0,9057,477,725,16,55,158,0,36,43,683,1612,4,63,0,0,1,1,4,1,0,0,7,42,0,3525,80,47,336,397,75,208,702,63,217,53,60,113,196,79,129,153,51,9,250,3,113,43,1044,4681,1853,461,2,145,262,83,382,134,14,0,0,0,217,112,81,122,236,253,95,496 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,834729,6310,351,659,30,1249,0,65,0,0,2192,296,123,9,18,144,7,209,57,549,352,55,36,0,0,0,3,205,3,0,0,7,2,0,624,9,13,24,32,51,15,48,5,98,77,18,27,40,9,20,38,35,24,1217,2,1,22,551,668,176,23,1,87,153,18,29,124,11,1,5,1,66,9,64,26,6,13,5,163 
Finland,5288720,49093,458,11097,59,640,2540,3604,1,1,20312,2233,2637,27,243,453,1,72,171,299,4245,94,56,0,0,0,7,151,0,5,0,14,11,0,10848,152,247,475,1080,395,962,2033,223,852,44,168,306,786,228,681,327,249,17,530,5,4956,47,646,11887,4346,908,17,628,1217,214,1274,346,19,0,1,0,467,1112,143,76,894,995,116,442 
France,61963276,520535,9874,156136,2136,18737,16830,28415,10,23,145272,32022,22966,1668,3401,8525,60,1359,1543,34913,36645,1052,667,2,0,5,34,4019,6,40,1,713,728,12,149664,3964,3908,4684,16354,7374,8623,28641,2135,11379,683,2429,3355,9033,4823,7128,5517,6472,1261,10992,2413,27779,1548,8468,38147,31908,9235,233,10309,9030,782,8535,6655,146,4,44,11,4643,5409,970,484,1182,10127,374,13456 
French Guiana,216382,704,42,117,3,31,21,12,0,0,137,28,33,0,1,16,2,30,19,94,118,2,1,0,0,0,0,4,0,0,0,1,23,2,108,3,3,7,7,5,3,16,2,10,3,4,1,11,1,7,3,9,1,19,2,10,1,10,24,45,7,0,16,6,1,16,14,0,0,2,0,24,3,13,5,8,23,16,26 
Georgia,4388400,41178,293,4511,8,487,8,260,0,0,27555,869,1070,0,2,307,2,574,65,3813,1354,10,129,0,1,0,0,111,4,0,0,22,2,0,4511,60,33,294,201,179,96,497,44,288,40,137,50,110,103,63,102,0,8,482,0,3,149,483,5661,9471,925,5,217,65,118,879,293,5,1,1,0,209,23,51,89,59,104,49,770 
Germany,82262642,827155,13890,217289,2136,26377,15460,18264,4,15,358684,57956,42163,820,2189,16624,28,1464,1451,21691,30650,2122,446,3,3,3,51,7614,10,33,0,950,461,3,211765,4777,4845,10487,26433,6827,14445,41522,2974,16780,1566,2443,5564,11448,5604,9592,6962,5524,992,21871,207,14287,2224,30285,140388,62085,20575,99,21784,25792,3183,15482,12982,82,1,21,4,5170,7728,351,346,745,9409,452,6449 
Greece,11192849,109895,969,26871,,,128,1397,0,0,50139,10229,2554,31,421,2219,2,176,222,8524,4143,0,96,6,0,0,1,738,0,0,0,78,19,1,26862,264,216,1356,2248,193,1486,6188,307,1970,115,335,567,1651,1065,821,1227,9,70,1394,0,700,5,1375,12494,16280,832,0,993,2109,342,768,2115,0,0,2,0,1793,565,389,192,414,328,130,332 
Grenada,103587,751,27,164,12,85,4,8,0,0,248,70,35,10,6,24,0,6,6,12,34,2,0,1,0,0,0,16,0,0,0,0,6,0,161,1,5,5,5,5,10,11,0,10,3,2,3,32,4,11,2,3,11,75,1,3,1,24,48,65,11,0,43,12,3,9,19,4,0,0,0,6,3,5,0,0,3,1,16 
Guadeloupe,453904,2770,104,675,21,165,57,135,0,0,749,113,136,10,18,57,0,25,7,256,242,6,4,0,0,0,1,38,0,1,0,3,25,0,653,17,14,46,62,24,32,64,4,44,9,22,14,94,8,46,18,22,15,122,9,69,6,120,99,267,38,3,47,22,4,55,43,0,0,0,0,70,16,13,14,9,34,9,77 
Guatemala,13797629,68394,5619,6815,493,6328,742,1563,1,4,10566,9629,4461,165,202,1961,310,3505,942,3499,11589,3100,302,6,0,13,2,1199,1,6,3,74,651,19,6771,117,92,1485,200,955,169,411,67,140,302,356,65,471,29,98,404,44,368,3117,2568,78,7,1764,2755,1661,141,8,7679,867,679,2333,1798,44,16,294,0,419,18,72,51,179,327,4131,6392 
Guyana,745638,5026,558,453,58,512,14,85,0,0,1779,253,241,7,15,86,20,157,41,48,699,50,88,1,0,0,0,84,2,0,0,6,289,20,425,12,7,13,30,18,19,15,1,43,33,24,20,71,0,13,13,28,52,398,35,9,7,242,616,548,20,2,164,49,30,119,73,6,5,14,1,205,11,73,11,2,186,105,106 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,6916300,39963,1101,12622,107,612,323,318,2,1,10738,7587,1570,243,134,1963,1,44,104,632,1855,12,231,0,0,0,0,737,2,0,0,31,21,0,12316,504,357,640,1690,1449,434,3648,47,526,129,66,142,296,170,435,281,306,58,506,13,337,102,901,4421,3513,446,20,4978,2096,121,527,1382,12,0,1,0,166,183,43,13,246,922,23,259 
Hungary,10055780,132938,480,32747,204,3455,2267,1815,0,16,66547,6771,8814,151,406,948,8,339,381,151,7438,34,220,3,0,0,9,77,0,2,0,2,9,0,31686,1581,670,1762,4779,654,1747,8155,484,2045,424,357,660,1160,850,823,872,1061,120,3029,17,2292,283,6296,33514,14524,3504,10,740,5369,845,5603,752,69,1,4,3,1529,1901,191,158,143,2450,172,894 
Iceland,311396,1943,26,585,6,32,67,149,0,0,689,157,51,2,8,24,0,5,8,15,119,0,5,0,0,0,0,17,0,0,0,1,0,0,572,6,18,20,54,10,39,139,11,49,1,4,17,56,12,20,16,13,3,26,3,153,1,18,343,175,23,6,42,96,6,13,14,1,0,0,0,18,25,4,0,1,37,2,32 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4339026,28117,252,8121,95,727,465,916,0,1,9956,3324,1162,60,230,666,2,84,195,102,1759,49,53,0,0,1,6,85,1,4,0,8,15,0,7917,126,329,324,911,204,465,1668,174,611,85,82,269,514,170,406,239,204,46,514,6,839,46,314,5375,2078,505,3,1125,1496,106,382,457,10,0,2,0,305,247,51,42,301,458,49,306 
Israel,7180115,39948,1383,10115,287,3098,571,1137,3,3,11304,3272,1397,498,254,2052,7,253,277,2139,1898,113,38,0,0,3,6,972,1,1,0,111,38,0,9839,82,112,471,1304,289,657,1551,215,925,65,160,245,393,239,636,470,276,180,2444,23,789,174,816,5222,2525,336,4,988,1214,45,372,1617,8,0,7,0,437,93,47,35,7,326,144,809 
Italy,59375289,572881,7936,171625,2726,24484,9300,20702,28,24,224311,37812,23203,929,3251,9820,13,1145,1319,9794,24459,193,394,27,0,0,20,3008,7,36,1,1725,1022,6,163806,2801,1764,10522,18349,9725,9834,32934,2193,11916,417,2404,3256,7502,5482,8107,5773,7819,1933,19898,458,18266,1848,25245,75119,61577,9352,411,7062,21246,869,9875,8531,211,1,12,0,5831,2958,387,201,520,3757,560,10245 
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Japan,126085000,1108334,24408,346523,4131,20321,5781,15303,5,30,327486,168078,43066,978,5013,28975,39,804,2322,41245,73826,2228,3935,7,0,1,1,9265,15,22,2,5659,65,0,336468,6399,11669,50597,42172,33599,24634,65608,1241,11323,2441,3181,4467,9786,6174,13227,7607,10055,1625,13999,1604,8373,2451,6144,75140,127041,15422,696,110159,18895,3274,16195,25562,96,2,28,5,8268,6951,5966,1455,855,30829,517,18985 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
