Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Spain,,753,801,838,723,768,500,484,509,442,431,422,408,358,316,320 
Sri Lanka,,,,,,,,,,421,,,504,591,660,713 
Suriname,,8,13,12,11,9,14,17,8,10,20,12,21,13,23,52 
Sweden,251,259,341,317,364,370,360,142,172,112,113,56,126,95,84,52 
Switzerland,,,123,131,150,115,78,87,49,49,36,41,49,29,29,26 
Syrian Arab Republic,,,,,,81,51,38,34,46,41,61,27,37,59,85 
Tajikistan,,,,,,,,,,,490,390,637,765,919,913 
TFYR Macedonia,,,0,5,1,1,4,5,2,2,5,15,17,14,23,29 
Thailand,,1754,1510,1374,992,908,773,858,940,887,942,1094,1225,1359,,1360 
Trinidad and Tobago,,,,,,22,16,17,9,25,19,18,29,23,21,27 
Tunisia,,,40,,,,72,,,,,,,,, 
Turkey,,,554,300,228,75,99,,,,,,,,, 
Turkmenistan,,42,71,52,118,124,171,129,103,96,125,106,145,236,342,422 
Turks and Caicos Islands,,0,1,,,,0,0,0,2,0,0,0,0,0,0 
Ukraine,,30,,42,52,45,46,77,54,65,75,71,98,107,128,196 
United Arab Emirates,,,,,,3,6,4,5,5,10,,,,, 
United Kingdom,,,1788,1814,2005,1413,2013,2940,4420,3794,2321,1479,1172,947,846,603 
United States of America,,9830,10638,10674,11095,10307,10289,7933,6800,6685,5714,4391,3149,2501,1591,1380 
Uruguay,,145,138,121,,121,63,89,75,58,67,80,79,70,68,89 
Uzbekistan,,101,80,122,126,112,94,,,,117,127,218,317,460,510 
Venezuela (Bolivarian Republic of),,,1017,1010,1050,1088,993,1100,1294,1451,1675,1865,2568,1713,1794,1784 
Virgin Islands (USA),,,,0,1,1,0,0,0,0,0,1,1,0,0,0 
Zimbabwe,,,,,,,,,,,,,,,, 
Total reporting countries,,,,,,,,,,,,,,,, 
