Poland,,376467,387312,384788,375501,378478,384940,379399,377226,369686,368285,363522,365230,359486,363220,368028 
Portugal,,105219,106876,107969,103203,106242,104964,104768,103888,,,,109148,106690,105582,105813 
Puerto Rico,,30152,29009,29665,29758,29150,29004,28871,29169,28206,29531,28912,28202,27924,29082,28365 
Qatar,,2366,2133,2031,1949,1970,2010,1948,1781,1754,1547,1347,,,1210, 
Republic of Korea,,,266257,267221,257396,255405,246942,246113,244874,242266,243883,244217,244506,245317,241521,246163 
Republic of Moldova,39906,39494,38060,39560,39249,43631,42139,41948,43050,43137,44689,41668,43079,41853,40076,41224 
Reunion,,,4253,4180,4034,4236,4104,4118,3981,4322,4365,3880,4041,4001,3695, 
Rodrigues,,244,209,240,219,240,237,206,175,245,224,216,,229,222, 
Romania,260997,254791,249904,255539,251439,259723,257213,253202,251965,258094,262101,258890,266575,269666,259603,255820 
Russian Federation,,,,,1925720,2028516,2010543,2075954,2080445,2166703,2303935,2295402,2358632,2332272,2254856,2225332 
Saint Kitts and Nevis,,,,341,374,344,354,374,345,372,356,396,371,353,375,363 
Saint Lucia,,1302,1093,1151,969,1091,974,1043,,996,1134,1070,1047,940,929,818 
Saint Pierre and Miquelon,,,,,,39,42,51,,48,53,,,,, 
Saint Vincent and the Grenadines,879,995,911,859,870,823,777,804,751,769,815,785,774,765,755,701 
San Marino,181,,,,,,,,,,219,,,203,,188 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,45636,,,44323,,,,,,,,, 
Serbia,,101247,100300,102400,102935,103211,104000,102711,102805,102884,106771,104320,103946,102785,99008,104042 
Seychelles,,725,717,651,688,664,684,663,630,664,673,611,668,647,554, 
Singapore,18640,18237,17810,17273,16887,16475,16013,16162,16044,15414,15285,14924,15168,14908,14449,14715 
Slovakia,,51345,52084,52437,,53445,52913,53164,53856,53301,53475,51852,52230,51532,51980,52724 
Slovenia,19834,,19334,19257,18699,18609,18750,18308,18584,18180,18825,18523,19451,18701,18508,18588 
South Africa,,453360,458933,491100,514486,543856,572673,592073,601133,607184,591213,567487,552824,499494,452896,413736 
Spain,,395830,390419,402950,387911,382047,384933,386324,385361,371478,387355,371934,384828,368618,360131,360391 
Sri Lanka,,,,,,,,,,117467,,,115495,111863,112858,116200 
Suriname,,3150,3147,2815,2989,3002,2807,2972,2874,2723,2812,2788,2746,2818,2620,2572 
Sweden,91002,89062,90505,91990,89941,90519,90177,91542,91820,91271,91775,91079,93003,95071,93808,93516 
Switzerland,,,64961,64173,62089,62649,62431,61233,61089,60283,61124,60180,63070,61768,61283,62545 
Syrian Arab Republic,,,,,,67024,63336,67028,58260,57160,56903,53325,49998,58354,52832,60675 
Tajikistan,,,,,,,,,,,28913,26770,26784,27230,26737,25899 
TFYR Macedonia,,,19208,20134,19465,19113,19060,18982,19594,18630,18406,17948,18006,17960,16919,17253 
Thailand,,435624,426065,415141,414670,411331,393747,397327,393254,391126,395374,393592,384131,380364,,365583 
