Sweden,5115,4841,4816,4681,4598,4659,4717,4810,4835,4623,4808,5116,4619,4725,4659,4267 
Switzerland,,,3819,3650,3640,3566,3581,3742,3782,3721,3461,3541,3621,3653,3681,3744 
Syrian Arab Republic,,,,,,3102,3206,3689,3302,3202,2931,2491,2401,2968,2291,2948 
Tajikistan,,,,,,,,,,,1728,1789,1710,1874,1631,1600 
TFYR Macedonia,,,552,584,527,588,613,600,743,653,587,712,639,748,741,728 
Thailand,,38451,39411,40130,40682,39924,41943,41787,42884,44442,43160,44196,45119,42803,,40874 
Trinidad and Tobago,,,,,,1127,1164,1372,1111,1026,993,909,835,714,797,677 
Tunisia,,,1197,,,,1382,,,,,,,,, 
Turkey,,,19608,13173,12690,12981,11289,,,,,,,,, 
Turkmenistan,,1174,1561,1268,1474,1616,1567,1846,2054,2431,2313,2218,2194,2395,2104,1934 
Turks and Caicos Islands,,10,26,,,,27,6,17,15,17,6,6,8,8,3 
Ukraine,,40135,,41713,42380,43955,48936,61377,65978,64556,69954,71329,72576,76311,75318,73575 
United Arab Emirates,,,,,,1275,1438,1477,1370,1129,1171,,,,, 
United Kingdom,,,22264,20784,21057,20457,21081,21390,20728,20853,20610,20640,20304,19823,20330,19530 
United States of America,,202296,195710,192988,190048,183636,180171,183816,185125,182314,176406,170067,166857,164112,160099,151268 
Uruguay,,2386,2421,2336,,2151,2042,2035,2102,1968,1990,1899,1821,2009,1873,2027 
Uzbekistan,,9208,9473,8964,8598,8516,8739,,,,10142,9858,9602,10496,10665,10680 
Venezuela (Bolivarian Republic of),,,29069,30308,27292,27427,29398,30001,28088,25536,22980,23521,25356,23165,21036,20068 
Virgin Islands (USA),,,,100,76,90,100,82,87,85,65,72,63,71,73,59 
Zimbabwe,,,,,,,,,,,,,,,, 
